date,average_SST,standard_deviation_SST
2002-6-16,14.68309,0.58194
2002-7-16,16.7762,1.28408
2002-8-16,16.54656,1.32821
2002-9-16,16.21316,1.38112
2002-10-16,16.30144,0.84467
2002-11-16,15.64536,0.55922
2002-12-16,15.12492,0.39483
2003-1-16,14.94053,0.48449
2003-2-16,14.52593,0.37689
2003-3-16,14.52593,0.37689
2003-4-16,12.75587,0.64407
2003-5-16,13.29526,0.84982
2003-6-16,15.49625,1.1738
2003-7-16,17.39416,1.47577
2003-8-16,17.34834,1.41384
2003-9-16,16.94409,1.02478
2003-10-16,17.37383,0.67687
2003-11-16,15.54884,0.46865
2003-12-16,14.1722,0.40968
2004-1-16,13.65373,0.41126
2004-2-16,13.10953,0.47477
2004-3-16,13.10953,0.47477
2004-4-16,13.81744,1.00842
2004-5-16,14.41528,1.32673
2004-6-16,15.30074,1.40119
2004-7-16,17.06558,1.31188
2004-8-16,17.76463,1.16041
2004-9-16,19.06057,1.07332
2004-10-16,17.04564,0.88394
2004-11-16,16.17267,0.73512
2004-12-16,14.80329,0.36926
2005-1-16,14.59662,0.32197
2005-2-16,14.4089,0.37151
2005-3-16,14.4089,0.37151
2005-4-16,13.43555,0.70109
2005-5-16,14.42896,1.1224
2005-6-16,14.59531,1.29122
2005-7-16,16.25171,1.26145
2005-8-16,18.19504,1.17061
2005-9-16,16.93102,1.42027
2005-10-16,15.60364,1.1902
2005-11-16,15.40587,0.81498
2005-12-16,14.53117,0.40194
2006-1-16,13.24991,0.40747
2006-2-16,13.7649,0.59097
2006-3-16,13.7649,0.59097
2006-4-16,13.66679,0.63676
2006-5-16,15.26007,0.92541
2006-6-16,16.63128,1.30143
2006-7-16,19.08787,1.38556
2006-8-16,19.54037,1.16578
2006-9-16,18.22344,1.00492
2006-10-16,17.14654,0.55975
2006-11-16,16.80414,0.73717
2006-12-16,15.1995,0.53226
2007-1-16,13.9264,0.47318
2007-2-16,14.14318,0.3795
2007-3-16,14.14318,0.3795
2007-4-16,13.15044,0.80819
2007-5-16,13.69227,0.98285
2007-6-16,15.46342,1.11698
2007-7-16,18.08371,1.36942
2007-8-16,18.78668,1.28557
2007-9-16,17.45949,0.95661
2007-10-16,16.04786,0.88402
2007-11-16,15.27317,0.64512
2007-12-16,13.63892,0.54531
2008-1-16,13.08288,0.35404
2008-2-16,12.96149,0.34682
2008-3-16,12.96149,0.34682
2008-4-16,12.48189,0.98302
2008-5-16,13.49379,1.23153
2008-6-16,16.10496,1.38035
2008-7-16,18.17848,1.18606
2008-8-16,18.98501,1.24511
2008-9-16,18.56576,0.94587
2008-10-16,17.2406,0.91236
2008-11-16,16.47742,0.47917
2008-12-16,14.39839,0.41659
2009-1-16,13.68707,0.22655
