date,sst_anomaly
2002-06-16,-1.36685
2002-07-16,-1.14822
2002-08-16,-1.84958
2002-09-16,-2.22716
2002-10-16,-1.45444
2002-11-16,-0.8219
2002-12-16,0.20372
2003-01-16,0.72175
2003-02-16,0.50415
2003-03-16,-0.35047
2003-04-16,-0.75139
2003-05-16,-1.05011
2003-06-16,-0.55369
2003-07-16,-0.53026
2003-08-16,-1.0478
2003-09-16,-1.49623
2003-10-16,-0.38205
2003-11-16,-0.91842
2003-12-16,-0.749
2004-01-16,-0.56505
2004-02-16,-0.91225
2004-03-16,0.14994
2004-04-16,0.31018
2004-05-16,0.06991
2004-06-16,-0.7492
2004-07-16,-0.85884
2004-08-16,-0.63151
2004-09-16,0.62025
2004-10-16,-0.71024
2004-11-16,-0.29459
2004-12-16,-0.11791
2005-01-16,0.37784
2005-02-16,0.38712
2005-03-16,1.23041
2005-04-16,-0.07171
2005-05-16,0.08359
2005-06-16,-1.45463
2005-07-16,-1.67271
2005-08-16,-0.2011
2005-09-16,-1.5093
2005-10-16,-2.15224
2005-11-16,-1.06139
2005-12-16,-0.39003
2006-01-16,-0.96887
2006-02-16,-0.25688
2006-03-16,-1.47446
2006-04-16,0.15953
2006-05-16,0.9147
2006-06-16,0.58134
2006-07-16,1.16345
2006-08-16,1.14423
2006-09-16,-0.21688
2006-10-16,-0.60934
2006-11-16,0.33688
2006-12-16,0.2783
2007-01-16,-0.29238
2007-02-16,0.1214
2007-03-16,-0.17213
2007-04-16,-0.35682
2007-05-16,-0.6531
2007-06-16,-0.58652
2007-07-16,0.15929
2007-08-16,0.39054
2007-09-16,-0.98083
2007-10-16,-1.70802
2007-11-16,-1.19409
2007-12-16,-1.28228
2008-01-16,-1.1359
2008-02-16,-1.06029
2008-03-16,-0.79811
2008-04-16,-1.02537
2008-05-16,-0.85158
2008-06-16,0.05502
2008-07-16,0.25406
2008-08-16,0.58887
2008-09-16,0.12544
2008-10-16,-0.51528
2008-11-16,0.01016
2008-12-16,-0.52281
2009-01-16,-0.53171
2009-02-16,-0.58347
2009-03-16,-0.54729
2009-04-16,-0.36486
2009-05-16,0.34195
2009-06-16,0.34948
2009-07-16,-0.36238
2009-08-16,-0.62127
2009-09-16,0.37608
2009-10-16,-0.09503
2009-11-16,-0.11976
2009-12-16,-0.28057
2010-01-16,0.5086
2010-02-16,0.2044
2010-03-16,0.07414
2010-04-16,-0.19391
2010-05-16,-1.41133
2010-06-16,-0.52632
2010-07-16,-1.64744
2010-08-16,-2.31542
2010-09-16,-2.31202
2010-10-16,-0.88095
2010-11-16,-1.15116
2010-12-16,-1.43972
2011-01-16,-0.75375
2011-02-16,-0.59894
2011-03-16,-1.03157
2011-04-16,-0.16533
2011-05-16,-0.94775
2011-06-16,-1.10246
2011-07-16,-0.31843
2011-08-16,-1.10529
2011-09-16,-0.88709
2011-10-16,-0.95867
2011-11-16,-1.05506
2011-12-16,-0.54143
