date,average_sst,standard_deviation_sst,median_sst,quantile5_sst,quantile95_sst
2002-06-16,14.68309,0.58194,14.61705,13.89023,15.68366
2002-07-16,16.7762,1.28408,17.0112,14.76881,18.5841
2002-08-16,16.54656,1.32821,16.4549,14.65557,18.80634
2002-09-16,16.21316,1.38112,16.11484,14.34151,18.7445
2002-10-16,16.30144,0.84467,16.27437,15.14426,17.72977
2002-11-16,15.64536,0.55922,15.5193,14.99367,16.57689
2002-12-16,15.12492,0.39483,14.98863,14.61361,15.73943
2003-01-16,14.94053,0.48449,14.91817,14.31616,15.74474
2003-02-16,14.52593,0.37689,14.52451,13.98466,15.09891
2003-03-16,13.39487,0.62364,13.28094,12.63842,14.64209
2003-04-16,12.75587,0.64407,12.55791,12.12887,14.21758
2003-05-16,13.29526,0.84982,13.20964,12.18587,14.82066
2003-06-16,15.49625,1.1738,15.52779,13.77366,17.09625
2003-07-16,17.39416,1.47577,17.49643,15.13579,19.31185
2003-08-16,17.34834,1.41384,17.15863,15.47045,19.76188
2003-09-16,16.94409,1.02478,16.99205,15.42267,18.56223
2003-10-16,17.37383,0.67687,17.43533,16.31664,18.47122
2003-11-16,15.54884,0.46865,15.67221,14.82787,16.13617
2003-12-16,14.1722,0.40968,14.02875,13.71068,14.8599
2004-01-16,13.65373,0.41126,13.5833,13.11099,14.33529
2004-02-16,13.10953,0.47477,12.99913,12.52893,14.06976
2004-03-16,13.89528,0.6132,13.81963,13.11706,14.9102
2004-04-16,13.81744,1.00842,13.64838,12.55886,15.30298
2004-05-16,14.41528,1.32673,14.13791,12.79964,16.89225
2004-06-16,15.30074,1.40119,15.33258,13.32186,17.43357
2004-07-16,17.06558,1.31188,17.26172,15.11751,18.85088
2004-08-16,17.76463,1.16041,17.76163,16.15182,19.4782
2004-09-16,19.06057,1.07332,19.21739,17.40478,20.44578
2004-10-16,17.04564,0.88394,16.94736,15.84249,18.31331
2004-11-16,16.17267,0.73512,16.1235,15.17813,17.31843
2004-12-16,14.80329,0.36926,14.81265,14.26797,15.38188
2005-01-16,14.59662,0.32197,14.5423,14.15635,15.11934
2005-02-16,14.4089,0.37151,14.2466,14.00189,15.02121
2005-03-16,14.97575,0.30701,14.84624,14.61969,15.54619
2005-04-16,13.43555,0.70109,13.20941,12.70588,14.88544
2005-05-16,14.42896,1.1224,14.17346,13.13746,16.51957
2005-06-16,14.59531,1.29122,14.3661,13.06113,16.8696
2005-07-16,16.25171,1.26145,16.35719,14.3146,18.04941
2005-08-16,18.19504,1.17061,18.3089,16.4019,19.86985
2005-09-16,16.93102,1.42027,16.85442,14.87728,19.3336
2005-10-16,15.60364,1.1902,15.49216,14.02337,17.70461
2005-11-16,15.40587,0.81498,15.58351,14.27266,16.60697
2005-12-16,14.53117,0.40194,14.63335,13.86305,15.08242
2006-01-16,13.24991,0.40747,13.10634,12.78159,14.07147
2006-02-16,13.7649,0.59097,13.80988,12.98577,14.65375
2006-03-16,12.27088,0.39483,12.19188,11.88699,13.22639
2006-04-16,13.66679,0.63676,13.46315,12.93052,15.00283
2006-05-16,15.26007,0.92541,15.08231,14.04171,16.85071
2006-06-16,16.63128,1.30143,16.43768,14.93831,18.8913
2006-07-16,19.08787,1.38556,19.12587,16.93109,21.05033
2006-08-16,19.54037,1.16578,19.65465,17.689,21.36174
2006-09-16,18.22344,1.00492,18.38457,16.52592,19.61124
2006-10-16,17.14654,0.55975,17.21962,16.34704,18.04706
2006-11-16,16.80414,0.73717,16.89685,15.63617,17.84319
2006-12-16,15.1995,0.53226,15.14284,14.49136,16.20412
2007-01-16,13.9264,0.47318,13.86455,13.25832,14.6648
2007-02-16,14.14318,0.3795,14.1256,13.56734,14.69606
2007-03-16,13.57321,0.59402,13.56688,12.74722,14.43859
2007-04-16,13.15044,0.80819,13.01817,12.15478,14.61773
2007-05-16,13.69227,0.98285,13.53354,12.46639,15.5945
2007-06-16,15.46342,1.11698,15.39406,13.76308,17.36913
2007-07-16,18.08371,1.36942,18.26381,15.83533,19.92233
2007-08-16,18.78668,1.28557,18.88783,16.80242,20.68208
2007-09-16,17.45949,0.95661,17.4086,16.17617,19.10577
2007-10-16,16.04786,0.88402,15.8222,15.04986,17.76265
