svg,id,label,status_text,status_color,modal_before,modal_after
pelagic.svg,SST,Sea Surface Temperature,,#2b2b2b,prep/captions/SST_intro.md,prep/captions/SST_attribute.md
pelagic.svg,seascape,Seascapes,,#2b2b2b,prep/captions/seascapes_intro.md,
pelagic.svg,phytoplankton,Phytoplankton,,#1e3b1a,prep/captions/phytoplankton.md,prep/captions/phytoplankton_bottom.md
pelagic.svg,forage-fish,Forage Fish,,#2b2b2b,prep/captions/forage_fish_intro.md,prep/plot_caption/forage_biomass.md
pelagic.svg,forage-invertss,Forage Invertebrates,,#2b2b2b,,prep/plot_caption/forage_biomass.md
pelagic.svg,biodiversity,Biodiversity of Forage,,#2b2b2b,prep/captions/biodiversity_forage.md,prep/plot_caption/FED_ack.md
pelagic.svg,pinnipeds,California Sea Lion,,#2b2b2b,prep/captions/sealion_intro.md,prep/captions/pnniped_data_attrb.md
pelagic.svg,whales,Whales,,#2b2b2b,prep/captions/whale_intro.md,
pelagic.svg,eDNA,Environmental DNA,,#2b2b2b,prep/captions/edna_intro.md,prep/captions/eDNA_attribute.md
pelagic.svg,copepods,Copepods,,#2b2b2b,,
pelagic.svg,jellies,Gelatinous zooplankton,,#2b2b2b,,prep/plot_caption/FED_ack.md
pelagic.svg,midwater-larval-fish,Midwater Larval Fish,,#2b2b2b,,
pelagic.svg,humboldt_squid,Humboldt Squid,,#2b2b2b,,prep/plot_caption/ROV_ack.md
pelagic.svg,salmon,Salmon,,#2b2b2b,,prep/captions/salmon_attribute.md
pelagic.svg,leatherbacks,Leatherback Turtles,,#2b2b2b,,
pelagic.svg,seabirds,Nesting Seabirds,,#2b2b2b,,
kelp-forest.svg,otter,Sea Otters,,#2b2b2b,,
kelp-forest.svg,crabs,Crab,,#2b2b2b,,
kelp-forest.svg,shrimp,Shrimp,,#2b2b2b,,
kelp-forest.svg,kelp-canopy,Kelp Canopy,,#575511,prep/plot_caption/kelp_canopy.Rmd,
overview.svg,pelagic, Pelagic,,,,
overview.svg,sandy-beach, Sandy Beach,,,,
