modal_id,plot_title,plot_caption,plot_function,plot_arguments,filter,col_t,col_y,col_se,y_label,group_by,direct_path,skip_lines,csv_url
phytoplankton,Phytoplankton Biomass,prep/plot_caption/phytoplankton_biomass.md,plot_dygraph_timeseries,"filter=year > 1989, col_t=year",year > 1989,year,biomass,NA,(mg C/m3),NA,info-mb/master/prep/data/phytoplankton/SDG14_MB_Monique.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/SDG14_MB_Monique.csv
phytoplankton,Pennate Diatom Average Per Year,prep/plot_caption/pennate_diatoms.md,plot_dygraph_timeseries,,yr<2017,yr,pennate,NA,(mg C/m3),NA,info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv
phytoplankton,Centric Diatom Average Per Year,prep/plot_caption/centric2.md,plot_dygraph_timeseries,,yr<2017,yr,centric,NA,(mg C/m3),NA,info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv
phytoplankton,Autotrophic Dinoflagellates Average Per Year,prep/plot_caption/dinoflagellates.md,plot_dygraph_timeseries,,yr<2017,yr,adinos,NA,(mg C/m3),NA,info-mb/master/prep/data/phytoplankton/efm_dinos_mb_by_year.csv,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_dinos_mb_by_year.csv
pinnipeds,Sea lion pup count San Miguel Isl.,,,,NA,time (UTC),live_pup_count (count),NA,Average live pup count (number of species),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csvp?time%2Clive_pup_count
pinnipeds,Female sea lion pup weight index,,,,NA,time (UTC),mean_weight (kg),NA,Mean pup weight (kg),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csvp?time%2Cmean_weight
pinnipeds,Female sea lion pup growth rate,,,,NA,time (UTC),mean_growth_rate (kg/day),NA,Mean growth rate (kg/day),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csvp?time%2Cmean_growth_rate
forage-invertss,Krill  (<i>Euphausiid spp.</i>) Abundance off Central California ,prep/plot_caption/key_forage_notes_krill.md,,,"species_group == ""Krill""",time (UTC),mean_cpue (ln(catch+1)),NA,Average Abundance catch per unit effort (ln(catch+1)),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct()
forage-invertss,Market Squid  (<i>Doryteuthis opalescent</i>) Abundance off Central California ,,,,"species_group == ""Market squid""",time (UTC),mean_cpue (ln(catch+1)),NA,Average Abundance catch per unit effort (ln(catch+1)),NA,,,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct()
salmon,Chinook Salmon (<i>Oncorhynchus tshawytscha</i> Abundance off California,,,,NA,yr,abundance,NA,Abundance anomaly (observed mean/standard deviation),NA,,,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/fish/CCIEA_Chinook_salmon_CC.csv
