svg,id,title,link,not_modal
cinms_deep-seafloor.svg,biogenic-inverts,Biogenic invertebrates,modals/biogenic-inverts.html,
cinms_deep-seafloor.svg,demersal-fishes,Demersal fishes,modals/demersal-fishes.html,
cinms_deep-seafloor.svg,infauna,Infauna,modals/infauna.html,
cinms_deep-seafloor.svg,infaunal-inverts,Infaunal invertebrates,modals/infaunal-inverts.html,
cinms_deep-seafloor.svg,key-climate-ocean,Key climate & ocean drivers,modals/key-climate-ocean.html,
cinms_deep-seafloor.svg,key-human-activities,Key human activities,modals/key-human-activities.html,
cinms_deep-seafloor.svg,mobile-crustaceans,Mobile crustaceans,modals/mobile-crustaceans.html,
cinms_deep-seafloor.svg,mobile-inverts,Mobile invertebrates,modals/mobile-inverts.html,
cinms_kelp-forest.svg,abalone,Abalone,modals/abalone.html,
cinms_kelp-forest.svg,biogenic-inverts,Biogenic invertebrates,modals/biogenic-inverts.html,
cinms_kelp-forest.svg,ca-sheephead,California Sheephead,modals/ca-sheephead.html,
cinms_kelp-forest.svg,kelp-canopy,Kelp canopy,modals/kelp-canopy.html,
cinms_kelp-forest.svg,kelp-forest-fish,Kelp forest fish,modals/kelp-forest-fish.html,
cinms_kelp-forest.svg,key-climate-ocean,Key climate & ocean drivers,modals/key-climate-ocean.html,
cinms_kelp-forest.svg,key-human-activities,Key human activities,modals/key-human-activities.html,
cinms_kelp-forest.svg,nesting-birds,Nesting birds,modals/nesting-birds.html,
cinms_kelp-forest.svg,non-indigenous-spp,Non-indigenous species,modals/non-indigenous-spp.html,
cinms_kelp-forest.svg,seastar,Sea star (Pycnopodia & Pisaster),modals/seastar.html,
cinms_kelp-forest.svg,sea-urchin,Sea urchin (red & purple),modals/sea-urchin.html,
cinms_kelp-forest.svg,spiny-lobster,Spiny lobster,modals/spiny-lobster.html,
cinms_kelp-forest.svg,understory-algae,Understory algae,modals/understory-algae.html,
cinms_kelp-forest.svg,yoy-rockfish,YOY rockfish,modals/yoy-rockfish.html,
cinms_overview.svg,deep-seafloor,Deep Seafloor,deep-seafloor.html,T
cinms_overview.svg,kelp-forest,Kelp Forest,kelp-forest.html,T
cinms_overview.svg,pelagic,Pelagic,pelagic.html,T
cinms_overview.svg,rocky-shore,*Rocky Shore,rocky-shore.html,T
cinms_overview.svg,sandy-beach,Sandy Beach,sandy-beach.html,T
cinms_overview.svg,sandy-seafloor,Sandy Seafloor,sandy-seafloor.html,T
cinms_overview.svg,key-climate-ocean,*Key climate & ocean drivers,modals/key-climate-ocean.html,
cinms_overview.svg,key-human-activities,*Key human activities,modals/key-human-activities.html,
cinms_pelagic.svg,baleen-whales,Baleen whales,modals/baleen-whales.html,
cinms_pelagic.svg,forage-assemblage,Forage Assemblage,modals/forage-assemblage.html,
cinms_pelagic.svg,forage-fish,Forage Fish,modals/forage-fish.html,
cinms_pelagic.svg,forage-inverts,Forage Invertebrates,modals/forage-inverts.html,
cinms_pelagic.svg,key-climate-ocean,Key climate & ocean drivers,modals/climate-oceano.html,
cinms_pelagic.svg,key-human-activities,Key human activities,modals/human-activities.html,
cinms_pelagic.svg,midwater-assemblage,Midwater assemblage,modals/midwater-assemblage.html,
cinms_pelagic.svg,nesting-birds,Nesting  birds,modals/nesting-birds.html,
cinms_pelagic.svg,pinnipeds,Pinnipeds,modals/pinnipeds.html,
cinms_pelagic.svg,plankton,Plankton,modals/plankton.html,
cinms_pelagic.svg,seabirds,Seabirds at sea,modals/seabirds.html,
cinms_rocky-shore.svg,algal-groups,Algal groups,modals/algal-groups.html,
cinms_rocky-shore.svg,barnacles,*Barnacles,modals/barnacles.html,
cinms_rocky-shore.svg,black-abalone,Black abalone,modals/black-abalone.html,
cinms_rocky-shore.svg,black-oystercatcher,Black Oystercatcher,modals/black-oystercatcher.html,
cinms_rocky-shore.svg,inverts,Invertebrates,modals/inverts.html,
cinms_rocky-shore.svg,key-climate-ocean,Key climate & ocean drivers,modals/key-climate-ocean.html,
cinms_rocky-shore.svg,key-human-activities,Key human activities,modals/key-human-activities.html,
cinms_rocky-shore.svg,mussels,*Mussels,modals/mussels.html,
cinms_rocky-shore.svg,nesting-birds,Nesting  birds,modals/nesting-birds.html,
cinms_rocky-shore.svg,ochre-stars,Ochre star,modals/ochre-stars.html,
cinms_rocky-shore.svg,owl-limpets,Owl limpets,modals/owl-limpets.html,
cinms_sandy-beach.svg,key-climate-ocean,Key climate & ocean drivers,modals/key-climate-ocean.html,
cinms_sandy-beach.svg,key-human-activities,Key human activities,modals/key-human-activities.html,
cinms_sandy-beach.svg,macrophyte-wrack,Macrophyte wrack,modals/macrophyte-wrack.html,
cinms_sandy-beach.svg,seabirds,Marine birds,modals/seabirds.html,
cinms_sandy-beach.svg,non-indigenous-spp,Non-indigenous species,modals/non-indigenous-spp.html,
cinms_sandy-beach.svg,sand-crab,Sand crab,modals/sand-crab.html,
cinms_sandy-beach.svg,snowy-plover,Snowy plover,modals/snowy-plover.html,
cinms_sandy-beach.svg,talitrid-amphipods,Talitrid amphipods (Megalorchestia spp.),modals/talitrid-amphipods.html,
cinms_sandy-beach.svg,wrack-consumers,Wrack consumers,modals/wrack-consumers.html,
cinms_sandy-seafloor.svg,biogenic-inverts,Biogenic invertebrates,modals/biogenic-inverts.html,
cinms_sandy-seafloor.svg,dungeness-crabs,Dungeness crabs,modals/dungeness-crabs.html,
cinms_sandy-seafloor.svg,halibut,Halibut,modals/halibut.html,
cinms_sandy-seafloor.svg,infaunal-inverts,Infaunal invertebrates,modals/infaunal-inverts.html,
cinms_sandy-seafloor.svg,key-climate-ocean,Key climate & ocean drivers,modals/key-climate-ocean.html,
cinms_sandy-seafloor.svg,key-human-activities,Key human activities,modals/key-human-activities.html,
cinms_rocky-shore.svg,rocky-map,*Map of sites surveyed,modals/rocky-map.html,
